"","EE-a","L2-a","L2-b","L4-a","YA_female-a","YA_male-a"
"WBGene00057370",5.79797445864837,-3.41013126482676,-2.4959084915648,-3.41013126482676,-1.50820671472938,-2.35373071637999
"WBGene00057369",7.31092601165561,3.88728281160644,4.67403150350338,3.5802962964881,5.48296722102975,3.93824662532605
"WBGene00057364",-3.41013126482676,-3.41013126482676,-2.28619714258,1.05097724873048,-1.50820671472938,3.09828474552377
"WBGene00057362",-0.779427227820409,-3.41013126482676,1.50588031855963,-3.41013126482676,2.7721865681343,1.68207238050412
"WBGene00057361",7.15907267619004,4.75757709222803,5.33611014026083,3.99249448154079,3.70640055453753,3.20717101743239
"WBGene00057360",7.15852464034187,1.34746343190332,2.77273650828505,4.44959886137524,6.77959806987248,5.48984047775018
"WBGene00057359",7.7951869592319,5.15491494558987,6.13592043368275,4.57461206906659,6.08686560131839,5.09183196839288
"WBGene00057358",7.71398389578449,3.6260815138343,3.39356871141433,2.59159800166574,6.05019823887664,4.34668256589775
"WBGene00057357",4.99130520170674,3.6260815138343,5.3215044182542,4.31271630180033,5.13825896430308,4.41275006502691
"WBGene00057356",6.10803540487405,4.10836444254951,5.26608686734729,3.31952932556237,3.70640055453753,3.24372618614574
"WBGene00057355",5.33231853160465,2.89642514859973,2.62488569566304,1.05097724873048,3.7392233056455,3.27937795910113
"WBGene00057353",-2.75291998425419,-3.41013126482676,-3.41013126482676,-3.41013126482676,0.168621003444002,4.9794282845459
"WBGene00057352",-3.41013126482676,-3.41013126482676,-2.74137459709103,2.01784935916977,-0.715423118708092,3.61055450202476
"WBGene00057351",-3.41013126482676,1.34746343190332,1.38851326787707,2.01784935916977,-0.525220967935579,0.96804487751093
"WBGene00057348",-3.41013126482676,-3.41013126482676,-3.41013126482676,-3.41013126482676,-0.279998353326555,0.837462373058385
"WBGene00057346",8.19935392194863,4.10836444254951,4.88644911558162,3.31952932556237,5.94760239092191,4.88340286209551
"WBGene00057345",3.99003180199314,-3.41013126482676,2.72511682607135,3.31952932556237,4.17931746513071,3.71467396488027
"WBGene00057344",6.91243561627522,3.88728281160644,5.04756991968776,3.5802962964881,5.8713928134009,5.20275416349835
"WBGene00080203",-3.41013126482676,-3.41013126482676,-3.41013126482676,-3.41013126482676,-2.16612289212082,0.392768593453567
"WBGene00057340",-3.41013126482676,-3.41013126482676,-0.971101911100362,-3.41013126482676,-3.41013126482676,1.17689596136238
"WBGene00057339",7.56238720702256,-3.41013126482676,2.95922660700244,2.59159800166574,4.98931763440737,4.56633956019965
"WBGene00080233",-2.75291998425419,-3.41013126482676,0.0134588467745797,-3.41013126482676,-2.47476859530584,-1.45433619908191
"WBGene00057338",6.91048403519378,-3.41013126482676,0.199191661831927,1.05097724873048,4.2558458755431,2.370882430754
"WBGene00057335",0.48213839889349,-3.41013126482676,-2.28619714258,-3.41013126482676,0.222676861273892,-0.653408305266882
"WBGene00080231",-3.41013126482676,-3.41013126482676,0.267269522866613,-3.41013126482676,0.373660448051154,-1.20877320835038
"WBGene00057334",-1.07693111009649,-3.41013126482676,-0.110661620378127,-3.41013126482676,0.987135643635585,0.693873460789827
"WBGene00057333",2.68816743637593,-3.41013126482676,4.1641920979149,1.05097724873048,1.29530544788133,4.27867737430384
"WBGene00057332",0.238406161872189,-3.41013126482676,-0.971101911100362,3.80106693685505,1.74651249072117,-0.253400467168919
"WBGene00057330",-2.51053261333964,-3.41013126482676,-2.74137459709103,-3.41013126482676,-1.50820671472938,4.49773023628469
"WBGene00045450",-1.45215857870409,5.54395899248734,6.44350736095859,7.0510558053764,7.6790044771027,7.34628963986871
"WBGene00057325",4.7659277954743,-3.41013126482676,5.07037711626398,3.31952932556237,3.85498860914777,3.26928132027582
"WBGene00057324",6.3247834770699,1.34746343190332,4.37750347224109,2.01784935916977,4.14823055190647,3.25400262372747
"WBGene00080209",6.38341402949711,3.30689872122648,3.76571787338076,3.31952932556237,4.34688951330642,3.2743384722817
"WBGene00057315",8.44128762370195,5.46611807550129,6.02323306846159,5.19710044429764,5.78383625009356,5.78471684502909
"WBGene00057314",-1.56348118831229,5.2843817879833,-0.894716823652266,9.05429225791689,4.10571107757498,9.06003259503301
"WBGene00057311",7.73772327758272,5.46611807550129,5.4824665465619,5.30929768655484,5.63646566633377,5.2420036795431
"WBGene00057307",-1.34881401464565,1.34746343190332,2.68211990621412,-3.41013126482676,0.32506732329773,1.82678342394383
"WBGene00057304",6.32258366217822,2.32054741464866,4.54456109318954,2.01784935916977,4.46932594999473,4.21039771070091
"WBGene00057303",3.64197364543037,3.30689872122648,4.41174664146759,3.00099571516213,4.45528342861534,4.95128573959186
"WBGene00057301",1.74456037182112,1.34746343190332,4.51336240668936,4.31271630180033,3.2597038142615,5.58652707286582
"WBGene00057297",6.19647476205596,5.81908745539491,5.87940270432175,5.07543630689876,5.6314787795761,4.41657469738836
"WBGene00057296",6.26417841834521,4.10836444254951,5.0274668724517,3.99249448154079,5.48088929182342,4.62887541364674
"WBGene00057295",5.76162841082792,-3.41013126482676,2.2150104069923,1.05097724873048,2.71675972198594,2.26307963843124
"WBGene00080242",2.95376537975708,-3.41013126482676,1.15689939789796,-3.41013126482676,1.65117756272226,1.24029489918536
"WBGene00057293",6.30164050524525,-3.41013126482676,1.9195379549292,-3.41013126482676,4.17931746513071,3.66932366882117
"WBGene00057289",2.84897355757051,7.89360332905154,8.06768445086456,8.1188574652568,8.70358853211543,7.87895902521407
"WBGene00057287",4.49262924501577,7.79357736319754,8.14955859603535,7.8914051400919,7.83075099995104,7.49949955383548
"WBGene00057285",1.69704665627931,2.32054741464866,4.14622531481019,1.05097724873048,3.35354342005382,3.24887355490794
"WBGene00057284",3.44212619135988,1.34746343190332,2.84691521391778,1.05097724873048,1.74651249072117,2.70638514520035
"WBGene00057283",-3.41013126482676,-3.41013126482676,-1.42882227758493,3.00099571516213,1.48418674782872,7.11849801952846
"WBGene00080217",-3.41013126482676,-3.41013126482676,-3.41013126482676,-3.41013126482676,-1.50820671472938,3.71281255932785
"WBGene00057280",6.16525815392601,5.18778095028992,5.66520981814495,4.31271630180033,5.34557749380088,4.41581973510599
"WBGene00057276",4.46275384015046,4.88268982535497,-1.22800658811676,3.5802962964881,-1.19306026150854,-1.32633629929674
"WBGene00057270",-0.227687171661052,-3.41013126482676,-1.94071043421016,-3.41013126482676,-0.357198884981518,3.90928094261832
"WBGene00045449",-1.81576927548796,5.54395899248734,6.22260010267185,6.74010046900293,7.83346784228518,6.77748720285098
"WBGene00057269",0.590122393945724,1.34746343190332,2.81883448032661,-3.41013126482676,3.86352044231794,3.4677541839868
"WBGene00057267",2.02026387274954,1.34746343190332,4.36201943402113,3.00099571516213,2.37871345523013,3.49833214977834
