"","EE-a","EE-b","L2-a","L2-b","L4-a","L4-b","YA-a","YA-b"
"WBGene00270372",5.24218800997423,4.77554654623915,5.50674570418208,3.21805765015616,4.84617710097544,3.75055731048433,5.1779801460136,4.79518915798123
"WBGene00270373",6.94868199550709,6.75629047516805,4.9762309874833,4.50060126905736,5.19551135320346,4.67393602888141,6.04196966619247,5.710236156285
"WBGene00270374",-3.48837647341811,-3.7393647186222,-0.515622108846376,-5.90347586718388,-1.34364745790458,1.71407541973463,3.27985976003281,3.47959331191758
"WBGene00270376",-6.65830147486042,-6.06129281350956,-0.515622108846376,-4.31851336646272,0.978280636982787,-0.921010560412366,-3.58556421828032,-0.811083848985342
"WBGene00270377",4.2538393814353,4.24362885607211,3.57184073240396,3.02430209489847,3.94175476095767,3.08171923234321,4.35107372072225,4.12077927485464
"WBGene00270378",-5.07333897413926,-3.25393789145196,-0.515622108846376,-5.90347586718388,-1.34364745790458,-3.15804975771322,1.36863209210655,1.73911323357514
"WBGene00270379",3.89532781905595,3.62695749562361,-0.515622108846376,1.98526738171438,4.84617710097544,3.44186308447391,5.56874759315617,5.25705462454553
"WBGene00270380",5.94323720107943,5.93129153049624,3.57184073240396,4.89499593391774,4.67872035512388,5.51488064116555,6.53778124247295,6.52579458736799
"WBGene00270381",1.32469209983389,-0.70374080889148,1.80630598604099,1.42744101093074,1.82627754353774,-0.921010560412366,-0.179571858604484,-1.11593843051376
"WBGene00270384",-4.33637337997306,-6.06129281350956,2.29173281321123,3.25891546157303,1.82627754353774,1.08987775573037,1.36863209210655,-0.159007152405649
"WBGene00270385",4.14178951276458,2.84860027026048,6.40324112842822,2.67772471474108,4.67872035512388,0.510328751195579,0.501898622970018,-2.88147317687674
"WBGene00270386",4.58784529977545,4.95063325279724,-0.515622108846376,1.40940708810048,2.74381538334576,3.14573099046389,5.42733961495032,5.6692736085065
"WBGene00270387",1.07640814536542,1.11861627650537,-0.515622108846376,3.45627369313845,2.74381538334576,5.15807011847332,3.2649351954778,3.78812057431159
"WBGene00270388",-2.26598405208166,-2.36085309536847,-0.515622108846376,-1.25961967740915,-1.34364745790458,1.79614655267366,1.77198778633776,1.83002172977335
"WBGene00270389",2.56811071792837,2.40223155976162,4.84192989577171,2.90709576755727,5.47653150451061,3.75740285139873,2.08686112369117,2.54479157782536
"WBGene00270391",4.87064094020448,4.4884918544383,-0.515622108846376,3.47373466320468,4.1482056384251,4.3326578879482,4.55296358314195,4.0133445864312
"WBGene00270392",2.46323204247961,1.91025074044121,-0.515622108846376,-0.175555412620676,-1.34364745790458,0.301381860924082,0.535451182681045,0.154150732853981
"WBGene00270393",1.75532645416375,0.927391873262602,2.65430289259594,2.44967095831421,2.74381538334576,2.60064935840027,2.90307932157346,2.10948168352025
"WBGene00270394",2.95087726328156,2.79979409248583,4.3423588862812,3.46503059432382,5.06574347823313,3.98150159468558,4.81275194511988,4.35310478290783
"WBGene00270395",1.60379337050976,1.01552278354127,-0.515622108846376,2.67772471474108,-1.34364745790458,2.66759051737214,1.57632346409657,1.02541741873178
"WBGene00270396",2.66587907175832,2.91884676412959,-0.515622108846376,0.783024659999343,0.978280636982787,2.6082425077225,4.19710644039669,4.15194982466071
"WBGene00270397",2.84751007905918,2.71678431602579,3.57184073240396,3.7349600468066,3.04866996487418,3.89413010661183,3.82890961815061,3.81618945659378
"WBGene00270398",4.359202926249,4.07441647259484,1.80630598604099,2.80042770626079,2.74381538334576,3.61013456706371,3.9644129244915,3.90250723680706
"WBGene00270400",3.16983500933369,2.79979409248583,-0.515622108846376,-1.0454948720563,1.82627754353774,1.79614655267366,2.7894752130666,3.45837682600788
"WBGene00270401",-3.85094655280281,-3.25393789145196,-0.515622108846376,0.505915068953826,-1.34364745790458,0.14311977700735,-0.622090094305435,-0.67983931570709
"WBGene00270402",-6.65830147486042,-3.25393789145196,-0.515622108846376,-2.20303614904278,-1.34364745790458,-0.23748422520762,1.12593068836977,1.53806571463704
"WBGene00270403",5.93625640500331,6.15575610004677,2.65430289259594,4.74308284297067,4.58708987965831,5.37165965891392,5.55960372073806,5.9303831374158
"WBGene00270404",1.78049037771784,0.242487934667539,-0.515622108846376,-0.618073648321627,0.978280636982787,-0.18404496624616,-2.20705259502659,-0.955473758320517
"WBGene00270407",1.56570019933769,1.8274504353887,-0.515622108846376,0.205048589594293,-1.34364745790458,1.08987775573037,3.16128596481773,2.74496595982058
"WBGene00270408",-4.33637337997306,-6.06129281350956,-0.515622108846376,-5.90347586718388,-1.34364745790458,-1.01120836938394,1.45882990107813,1.6669634478193
"WBGene00270410",3.44367419608881,2.84860027026048,-0.515622108846376,2.41393674658099,4.01390454671351,2.74540175392853,2.9094913100877,2.68534197713416
"WBGene00270412",4.64490847408436,4.64001364844906,7.996130544921,5.87172286171411,5.83626163211036,1.29198316292183,2.48052497217745,2.34349318812353
"WBGene00270413",0.187188576083957,-0.0840128900096471,1.80630598604099,1.77600423232157,2.74381538334576,2.46504787189471,2.14235623628288,1.591014594586
"WBGene00270414",-0.354520726683315,-0.178649764147722,-0.515622108846376,-0.122116153659216,-1.34364745790458,-1.57308725699206,-2.20705259502659,-0.811083848985342
"WBGene00270415",3.57651595625691,3.74445105864205,-0.515622108846376,2.73676906903847,2.35679226023652,3.5756919355787,4.17598701416416,4.43140977840762
"WBGene00270416",1.85345117890696,1.60404310367561,-0.515622108846376,-5.90347586718388,-1.34364745790458,-5.96540467977082,-5.90749231316768,-5.2034012717641
"WBGene00270417",-2.95786175671933,-6.06129281350956,-0.515622108846376,-5.90347586718388,0.978280636982787,-2.79547967832851,1.08119237360448,1.78528341500806
"WBGene00270418",0.284213030478822,1.6869000360799,-0.515622108846376,-0.288766023068667,-1.34364745790458,0.374445323113805,-0.481227558465586,1.100379476413
"WBGene00270419",4.49081051584647,4.61201626205213,4.52877201051208,5.32353832646526,4.58708987965831,3.79780768704358,1.52713591446904,1.97650781825083
"WBGene00270420",1.50660545181527,1.01552278354127,-0.515622108846376,-0.859081747825422,-1.34364745790458,-1.71747716632723,-5.90749231316768,-2.88147317687674
"WBGene00270421",1.94532487012577,1.89870911855852,2.65430289259594,2.70015047780232,1.82627754353774,2.98003915660709,-1.38393035711067,-0.811083848985342
