"","EE--","L2--","L4--","Ad_female--","Ad_male--"
"WBGene00126520",7.01209856561697,7.86434365461863,8.06358611988007,8.28862965929807,7.87616913689848
"WBGene00126521",6.05698259988552,5.67837401702486,5.2782606571112,6.02637313348353,5.96426277152465
"WBGene00126522",0.495234018036667,0.850663886802564,0.589794796163782,11.2459070399853,5.97182136454396
"WBGene00126525",3.1924227966155,1.93442133216817,2.31189992905614,3.14469942005944,6.0290952157994
"WBGene00126527",4.11549773733429,4.74499376341506,4.41733564162167,3.27680659148672,3.95747100168681
"WBGene00126528",-0.783063172457701,-1.53439677933425,-3.04811967952493,-0.238162005496707,6.66012299963827
"WBGene00126529",4.94140373486235,4.58901448424742,3.76725198705875,5.07124944013325,4.42213746455413
"WBGene00126530",5.76993980702162,5.84246692892138,5.89817509003531,5.60236727139489,5.56021907599176
"WBGene00126535",7.42099822580523,7.3987998865497,7.14546661332541,7.39214612188069,7.55178130125011
"WBGene00126536",2.56555426265334,2.61390178058204,2.7282090337988,3.06339690939275,1.3677243750619
"WBGene00126537",5.36364777488871,3.78121188245241,2.87152667258062,2.29469152292482,3.29217023139717
"WBGene00126538",4.20821758625298,4.2409284042681,4.21715912777644,2.64135804309839,3.37431400725591
"WBGene00126541",7.20129131699672,3.19376326381986,4.39852253776843,2.81284511116988,1.17163443989613
"WBGene00126542",2.1073569748648,2.93277142980289,2.50014736759845,0.861604796701962,1.22321164028264
"WBGene00126544",5.87662667174489,5.62363184326983,5.57278863264987,5.96053505689707,5.61434421042115
"WBGene00126545",7.99016673456875,8.93495263471036,9.11513583610518,9.35486128425816,9.28025406075455
"WBGene00126546",5.79526937153155,5.99360176601706,5.56226176000912,2.96609664131283,4.49738597409467
"WBGene00126547",6.91420167593583,5.9846856439018,5.4132483689553,6.28694825083262,8.07831899764291
"WBGene00126548",6.40527052234369,5.836815697698,6.62455685407091,4.25867796079887,5.2417180316544
"WBGene00126549",4.81028821873387,2.20394732636139,3.89354836667948,0.276541181753591,-3.04811967952493
