"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00051071",-6.20340958731627,-0.706881826920514,-1.31409118482949,-1.01605829888539,-3.22050996937826,-1.24055846726884
"WBGene00051069",1.61459731467047,5.4829427319595,4.89603429590171,4.19339506674356,4.9098031761652,5.00254695085011
"WBGene00051068",1.7332283516863,1.61504626796685,1.59611214481986,-1.01605829888539,1.55559401869491,2.86041918045598
"WBGene00051067",1.59749031260403,5.44286529258417,6.16861247440637,3.84192269624218,4.52230470048464,5.81124863974446
"WBGene00051066",-6.20340958731627,-0.706881826920514,1.56263744026877,1.30586979600197,-1.01887610820861,-1.4920972342648
"WBGene00051061",4.05279910121112,4.15109916820706,5.7223666746052,5.85430642069801,5.9428881249749,6.94669461831346
"WBGene00051059",-0.648820735638634,2.99355789122058,1.52141477754226,2.6843814192557,1.44624662250655,2.61941108095219
"WBGene00051058",5.43683534890607,4.33751229243794,4.17554918861107,2.15386670255692,2.42910548968515,1.69301417099219
"WBGene00051057",-0.0948851305381025,2.99355789122058,2.40912840196789,1.30586979600197,2.50741048518494,4.89448381896482
"WBGene00051056",0.996262757520093,3.68543559585825,3.56432975136123,2.15386670255692,3.23563906526974,4.3066445574881
"WBGene00051055",-2.11594674606593,1.61504626796685,-0.105982989499291,-1.01605829888539,0.434841859234297,0.305409901836456
"WBGene00080274",0.616769375098916,2.4630431745218,3.83214828636113,3.07140454236495,4.92006420833164,4.89776453678765
"WBGene00051054",-0.137320396858499,1.61504626796685,2.09002266541312,-1.01605829888539,1.08691855581399,1.01040310626438
"WBGene00051053",2.42958560982669,5.02103862764269,5.10463383993537,4.34149370573269,4.75333087015489,4.49604640804541
"WBGene00051049",-4.20340958731627,2.99355789122058,2.37095964029817,1.30586979600197,1.44624662250655,1.56679645478877
"WBGene00051043",0.100371160860831,1.61504626796685,-0.617483328279427,-1.01605829888539,-3.22050996937826,-1.36085270098655
"WBGene00081236",-1.2492132769294,-0.706881826920514,-0.289429130595223,-1.01605829888539,-1.6355474686571,-1.97752406143504
"WBGene00071619",3.44044660245845,4.9078280171947,4.44171728451552,4.71186215567781,2.70073591920733,3.17898042424495
"WBGene00071618",-6.20340958731627,-0.706881826920514,-6.17207217995706,4.11322471805957,-5.54243806426562,-5.88441465704356
"WBGene00071614",-1.67984763125926,-0.706881826920514,-6.17207217995706,5.6421531838664,0.23892164925904,4.64501589710259
"WBGene00071608",4.8780738507774,7.02782779330532,7.27625839674151,6.74549293355909,6.97424688504399,6.26119911846983
"WBGene00071606",3.00847870722973,5.22385551064237,3.41101058754587,3.62779789088933,3.98308274482945,4.69017887029405
"WBGene00069285",0.642080463628104,4.9078280171947,4.16666420261685,2.6843814192557,2.10861362691331,2.74494196303605
"WBGene00069286",-3.03348458587396,2.4630431745218,0.303661251009334,1.30586979600197,-0.684457069138047,0.38237188365134
"WBGene00069287",-2.50296986917518,1.61504626796685,0.0177523789229533,-1.01605829888539,-3.22050996937826,-1.24055846726884
