"","EE-AF16_EE","EE-AF16_EEb","L2-AF16_L2","L2-AF16_L2b","L4-AF16_L4","L4-AF16_L4b","YA-AF16_YA","YA-AF16_Yab","mixed-AF16_Mx"
"WBGene00039677",3.07035832789247,3.09455917779547,-0.314965343023101,5.61011673307374,2.3111098975292,4.01244037398453,0.0771408829649094,-0.246019083569836,4.95564683910642
"WBGene00039678",-2.20723496775901,-1.45856723580368,-0.314965343023101,1.05806461260902,2.3111098975292,4.30284196331795,2.00314030152113,1.59900625645382,4.95564683910642
"WBGene00039679",-6.4551624812026,-5.85088465858244,-0.314965343023101,-5.71011971216791,1.17360637377927,0.341245475619292,-1.18065687450274,-5.0009065857333,4.95564683910642
"WBGene00039681",-0.67380276767794,-2.39145303994514,-0.314965343023101,-5.71011971216791,2.93914112014224,7.90922909836567,-0.4947654649308,-0.357050395958579,4.95564683910642
"WBGene00039682",7.1777191492035,7.37748311925439,3.77249749822724,5.08510825386077,4.06113164452085,4.69112763207766,6.12748426865455,6.18830024886372,4.95564683910642
"WBGene00039683",5.44003409136074,5.63544759418623,4.72942877633535,5.79022425710249,5.61986260366883,5.88601396422394,6.11556110127873,5.97565753768203,4.95564683910642
"WBGene00039684",5.69933921266217,5.61315049360747,2.85495965841921,5.18696941614485,4.78241561645479,5.01490021267233,5.27234529285558,5.34671478283483,4.95564683910642
"WBGene00039685",4.17692393163258,4.17009528032177,2.00696275186426,2.28423372469095,2.02160328033422,2.85110652109973,3.72832306982851,3.92093435134119,4.95564683910642
"WBGene00039686",4.67347633165,4.44717790913658,4.72942877633535,4.17710090330047,3.70965927401948,3.93142568561147,4.80852163224375,4.70472580162811,4.95564683910642
"WBGene00039687",5.16734697348074,5.04165815806611,4.07735207975566,5.34448460579276,4.34353137522158,5.61047381386334,5.7730334933782,5.73971745875611,4.95564683910642
"WBGene00039688",5.8871900288852,6.01832359196839,5.04258666159498,6.2817563868355,5.04150283777192,5.51407153382216,5.66592364893565,5.65998068456926,4.95564683910642
"WBGene00039690",-4.13323438631524,-3.52895656369508,-0.314965343023101,-2.5401947107256,-1.1483217211081,-1.86038838555036,-1.61675598930941,-1.83098158429099,4.95564683910642
"WBGene00039691",8.24598150594974,8.33174246891691,10.6016605791881,9.33474395806235,11.1895788817528,8.75830299925808,10.7557410220644,10.3806701613223,7.76300176116402
"WBGene00039692",3.46220959827424,3.23922776108185,2.00696275186426,3.42687139991232,-1.1483217211081,1.10308573842453,-0.659824711201297,-0.608589162954544,4.95564683910642
"WBGene00039693",-1.0288977265005,-0.641431292953488,-0.314965343023101,1.27856497460426,-1.1483217211081,0.919221546024342,-0.4947654649308,-0.046710275346429,4.95564683910642
"WBGene00039694",4.67347633165,4.73689285774577,3.38547437511799,5.04058727405704,4.20923028350999,4.85751647470136,2.95041719796822,3.59528317041111,4.95564683910642
"WBGene00039695",6.64006969041673,6.23757234490379,5.61577199453979,6.12869027354065,7.24828306007376,6.88713328699006,6.873917952855,6.62799456629489,4.95564683910642
"WBGene00039696",6.9118426656197,6.52279617482918,4.89448802260585,6.97177751461832,6.55903741097279,7.83553585146824,7.31485059877136,7.27434495773702,4.95564683910642
"WBGene00039697",5.14800019833178,4.94596613668472,4.32889084675162,5.84973532934571,5.86290553431516,6.0469029030314,6.19928647986413,6.0564082920494,6.54060933982757
"WBGene00039698",-0.524425143639713,-0.806490539223984,2.00696275186426,1.58450103672372,9.30803269400019,9.53960154146085,6.48591449130505,6.60225609380108,4.95564683910642
"WBGene00039699",5.21682079088926,5.07021242952435,5.29974450109211,6.48924590469007,4.06113164452085,5.52446729967506,5.78311878464743,6.08057685236037,4.95564683910642
"WBGene00039700",6.52265405939143,6.68900113416904,4.72942877633535,6.64219964267893,5.5098897616437,5.6532076316669,6.59584767939757,6.87369060666833,4.95564683910642
"WBGene00039701",6.79528398894265,6.91336494678472,5.17688775330657,7.14104370105221,5.04150283777192,5.68753436735365,5.78713324300368,5.8855521099704,4.95564683910642
"WBGene00039702",4.50121367604707,4.2325946687494,3.77249749822724,4.98423817505354,4.68456829305665,5.27369561765843,4.69131530490255,4.70126609963224,4.95564683910642
"WBGene00039703",4.59127946680471,4.51871268769624,-0.314965343023101,3.43198734513464,4.34353137522158,3.44946687703643,4.24852241662674,4.42745358697099,4.95564683910642
"WBGene00039704",5.02714130112058,4.94109216231625,3.77249749822724,4.78872949436381,4.06113164452085,4.90426208555301,5.15919312838189,5.40103953824323,4.95564683910642
"WBGene00039705",2.93500647499758,2.52849370848882,-0.314965343023101,2.22651822683466,3.70965927401948,2.4076467013418,3.04732522852935,2.78699597365813,4.95564683910642
"WBGene00039706",5.08641817878857,5.36767857760783,2.00696275186426,3.12593064289016,2.93914112014224,3.37482807614367,4.1553159558229,4.79513302309647,4.95564683910642
"WBGene00039707",4.82154353868983,4.27710966239396,4.54301565210447,3.98510857932784,5.29462177474063,4.57812626555892,4.95131189259589,4.5971459144283,4.95564683910642
"WBGene00039708",0.945716955079585,0.943531207767668,2.00696275186426,0.664919719179014,1.17360637377927,0.0656110330058649,1.28446585621242,1.14884053377138,4.95564683910642
"WBGene00039709",3.35380169371666,3.35123916524802,4.32889084675162,1.83677474771973,5.00142539839659,1.05289998125631,3.41731468678028,3.26118825963687,4.95564683910642
"WBGene00039710",-3.647807559145,-5.85088465858244,-0.314965343023101,-4.12515721144675,2.02160328033422,-4.18231648043772,-2.89686390850215,-5.0009065857333,4.95564683910642
