"","EE-DF5081_EE","L2-DF5081_L2","L4-DF5081_L4","Ad_female-DF5081_ADF","Ad_male-DF5081_ADM"
"WBGene00122961",6.30963127236969,5.80293457081178,4.50240598385816,3.32560407654517,5.46173194707075
"WBGene00122963",10.02843362595,11.4838313789397,11.6933314165351,11.0985988197312,10.9244234817661
"WBGene00122964",0.898355691887043,4.32948637379319,4.86301687768849,2.42252221982095,4.02460619973689
"WBGene00122965",4.73717054000889,4.72170797781982,4.74882567584105,3.73299379927331,3.69081902098121
"WBGene00122966",0.787324379498299,2.24453650137347,1.25557934421151,-3.46012082954089,-0.520926156155733
"WBGene00122968",-1.53460371538906,-1.69691131627142,-3.2679826118455,-2.23772840820444,-2.28646090251871
"WBGene00122969",7.05959645927693,7.08534235269291,6.86858135144082,7.19540989361475,5.87038062206969
"WBGene00122971",4.27103268944224,3.78910090146919,4.06889582450783,3.41844104300913,3.48436814351378
"WBGene00122973",6.78280889837581,6.89452602838202,7.24673144229299,6.81173122224096,5.82310860685198
"WBGene00122977",2.67224785505161,1.50186854784308,3.1414083242922,5.54456781625274,5.09724338995534
"WBGene00122978",3.86000188398497,3.6477880862746,4.00192327069358,2.6343967692434,2.953853426815
"WBGene00122979",0.489243026565304,-0.764025512129958,-1.68302011112434,-2.23772840820444,-4.60838899740607
"WBGene00122985",1.73841477901735,1.38281587619931,0.701643739110981,2.03173226678878,0.601064368222877
"WBGene00122986",3.28982472002748,-2.83441484002136,-2.53101701767929,-2.72315523537468,-4.60838899740607
"WBGene00122987",5.06332467663526,4.27201723779557,1.65484952763204,6.65405529501387,6.53052272073667
"WBGene00122989",7.88057466519851,5.91578966925852,5.23584312615025,3.52097070790905,3.77962828793906
"WBGene00122990",3.44420206234181,3.46204256734989,2.32696397744828,-0.521521374205034,1.32234834015681
"WBGene00122993",6.69773725972177,6.01170233331537,4.74510738759494,6.26496134938546,5.31493848801312
"WBGene00122994",3.60016484063963,3.67970742014935,3.5436596686152,5.12609346738973,4.93270761794345
"WBGene00122996",2.41025473041848,1.5301575922745,2.18047788897079,2.84365991863621,1.86734443356033
"WBGene00122997",3.15469544514683,2.02356615510622,5.01587744220834,3.26325569987736,2.82623923023065
"WBGene00122999",5.48702406426031,5.84013055382451,5.86387434876329,6.19868570169981,6.01274711586857
"WBGene00123000",6.00920146057533,4.69696662049496,6.76681635073177,2.84365991863621,3.61561267679203
"WBGene00123001",1.5242899736645,-2.83441484002136,2.56490740231924,2.84365991863621,4.34871304415621
"WBGene00123002",5.10829035695028,5.13021482669924,5.006589673816,6.18673784839536,5.08683929408968
"WBGene00123004",9.29136206813767,9.08645901858696,9.05722913436552,8.53010134440647,7.77450517148606
"WBGene00123006",4.34477531665088,4.3415089020424,4.98468282060475,4.42048307454735,4.61319812385873
"WBGene00123008",0.230931030973914,1.35145170528998,-0.329383156509644,0.164370035366903,-1.14895737876878
"WBGene00123012",5.55356615603514,5.51696614065298,6.34734049265764,5.80744617914215,6.70732666061613
"WBGene00123016",2.79212536576212,4.43424411500632,3.80883298520533,2.74281922912939,2.79249043887611
"WBGene00123017",2.94652297434755,4.52840568551291,2.11283917209543,-0.401227140487322,0.436005121952381
"WBGene00123019",6.15422938310405,3.3632933179345,3.30187299648545,5.80119058108786,4.23396134600774
"WBGene00123020",3.00558891521207,3.37113407115168,3.08369282643591,1.72310099451488,2.26197572217733
"WBGene00123024",4.70952222789467,2.02356615510622,2.11283917209543,3.57330217199656,2.82623923023065
"WBGene00123025",8.12420281585163,6.67060271550677,6.70882015106105,7.66033306862065,6.45837293498084
"WBGene00123031",7.50413241123224,8.45410522262083,6.2404724518213,8.50096706045644,6.81630219410688
"WBGene00123032",4.7171153772169,4.76102914456812,3.72070207492667,5.26666498474291,3.21815948988484
"WBGene00123034",2.94652297434755,-0.908415421465133,2.85441401951423,-1.87515832881973,-1.43846399596376
"WBGene00123035",11.3992221551543,12.5678311478231,13.1145344694198,12.3474772718681,12.1481021730399
"WBGene00123036",3.82294828922902,6.02667206597404,5.35528924577313,5.25755559352551,7.14106146816384
"WBGene00123037",0.173215533117626,0.952181521869451,1.25557934421151,-1.34464361212095,-0.907949279264981
"WBGene00123040",-3.11956621611022,-2.83441484002136,-2.53101701767929,-1.13819273465353,7.49784676420968
"WBGene00123041",4.37388898481596,4.38087546562988,4.13857673350904,4.77029996555149,3.87139126662303
"WBGene00123042",5.65324319405051,5.42391563259107,5.47010964777499,5.28471300795866,5.50405050937548
"WBGene00123044",4.85656825672143,5.80148462592503,5.41968467240971,4.1122636051008,4.67932338214338
"WBGene00123048",5.55356615603514,4.38475368044081,3.594138113643,5.00067633112064,3.58636785701618
"WBGene00123050",4.499553295343,2.93641420601113,3.15267943662722,5.54643901630869,4.92494073489976
"WBGene00123052",-0.156092092135334,0.774394402654168,-1.39351349392936,-5.04508333026205,-4.60838899740607
"WBGene00123053",7.51905070221408,7.03749039763783,7.03160702142058,7.22316624173245,6.51379190385368
"WBGene00123054",5.07715884467581,5.47392419011805,6.08148292806015,4.6708786599931,5.31196385800901
"WBGene00123057",1.54719037577458,-1.06888009365838,0.573319642135441,0.446769766067628,0.436005121952381
"WBGene00123058",0.787324379498299,-0.111948815550265,0.432457106295592,-0.797155816818461,-0.907949279264981
"WBGene00123059",2.7031639318343,3.48390200131363,2.08956939277258,2.03173226678878,2.79249043887611
"WBGene00123060",5.72278412730359,4.88941672647397,7.23683637578734,9.66092695914603,9.09020715933896
"WBGene00123061",-1.193566797554,0.516082407062777,0.874975341996542,-3.46012082954089,-3.02342649668492
"WBGene00123062",7.63013564115566,7.47278596911945,7.87901026120528,7.89651453800405,7.72392733279314
"WBGene00123063",-0.0839423063794983,-0.40145543274525,-1.15250539442556,-0.0908870198751712,4.98593560651877
"WBGene00123064",0.933545120349343,2.27828529272801,0.356508253062293,0.787806683902695,2.51055207531743
"WBGene00123065",0.0503587853320928,-0.111948815550265,-4.85294511256666,1.22170321043285,1.99152384478105
"WBGene00123068",0.580873502030872,-2.83441484002136,-2.53101701767929,-5.04508333026205,-4.60838899740607
"WBGene00123072",5.32751701009943,5.10692626546394,5.92266516819288,1.43065010070435,1.93076981370196
"WBGene00123074",5.08304740403827,3.87432420133822,3.61873010182539,2.86780600596792,2.31047423986852
"WBGene00123075",-3.11956621611022,0.866024878119736,1.68621369854137,1.82528138932136,3.24336004400998
"WBGene00123076",1.54719037577458,-1.06888009365838,1.71691049576429,-0.957620489011707,-1.43846399596376
"WBGene00123077",9.6934533517225,6.84400924257158,9.1774633912064,4.33645962092254,4.66540660180819
"WBGene00123078",3.66441419757358,3.74150252109679,4.40679815112412,4.08677363034675,4.227661357652
"WBGene00123079",0.96789662514012,0.625016778615941,1.02969793679518,0.446769766067628,0.817875757296025
"WBGene00123082",0.39139570316716,0.571577519654481,0.761764731548551,0.0841996866829198,3.09897013467481
"WBGene00123084",3.41959259499781,4.88120401905346,4.46220444968964,5.59606526714919,4.37745293959727
"WBGene00123086",0.0503587853320928,0.909746255549054,0.356508253062293,1.39786016558668,6.60167348583416
"WBGene00123092",2.3200569214469,2.88257605438358,3.93168973299086,3.63791125341964,2.53116235499272
"WBGene00123094",5.75510781552559,5.03471627962294,5.15408215432731,5.97797791947329,4.63240233475588
"WBGene00123096",6.66474145061817,5.28556376963352,4.76727471294083,6.53187333444405,4.95194383680637
"WBGene00123097",4.58226004230184,-2.83441484002136,-4.85294511256666,-1.34464361212095,-4.60838899740607
"WBGene00123098",4.1676844271444,3.31533227948333,3.88514714705383,2.54737370700603,2.10585652026005
"WBGene00123099",1.21671717175421,1.38281587619931,2.20233732293453,0.88565400730084,-3.02342649668492
"WBGene00123100",4.91495765922417,1.76252030236588,4.22119635018585,-0.652765907483286,-1.43846399596376
"WBGene00123102",6.78280889837581,5.61762043352484,5.74603785846943,6.1391721651433,5.42365672952474
"WBGene00123103",-0.58351331587001,-0.512486745133994,0.432457106295592,7.80021068901671,2.35739528725601
"WBGene00123105",1.42887040858582,1.63807293144139,0.356508253062293,0.0841996866829198,-0.701498401797554
"WBGene00123108",3.2554732152367,2.82665063978559,3.0357981363316,2.96054121893183,3.23081479069087
"WBGene00123110",-0.232040945368632,-5.15634293490872,-2.53101701767929,-5.04508333026205,-4.60838899740607
"WBGene00123112",6.15142984463006,5.84295245211469,4.96882886940391,6.03373461969993,3.6630740304983
"WBGene00123114",2.41025473041848,2.00352840186967,1.68621369854137,1.39786016558668,2.31047423986852
"WBGene00123117",-0.686606808834114,-1.45590321676763,-1.15250539442556,0.93219659323787,-0.907949279264981
"WBGene00123119",-1.35403146974724,-1.98641793346641,-1.68302011112434,-2.72315523537468,-4.60838899740607
"WBGene00123120",4.30837511639926,6.67773301852617,7.11752032821334,4.93076463774474,6.31716544246748
"WBGene00123122",-0.917932354940569,3.24026184627314,1.68621369854137,1.87377990701255,2.93850546248156
"WBGene00123123",4.04030512066817,1.5579025827574,0.979944901598085,2.83143361630295,5.59740425199108
"WBGene00123125",3.61107373980657,3.03841391951353,2.73951192470142,2.48629813025427,2.89145688967713
"WBGene00123126",2.86684471914183,2.92580610644515,2.58168311507007,3.85276212574347,2.31047423986852
"WBGene00123128",-5.44149431099758,-5.15634293490872,-4.85294511256666,-5.04508333026205,1.69539175077103
"WBGene00123130",-1.53460371538906,0.201209069709366,-1.39351349392936,-5.04508333026205,-1.43846399596376
"WBGene00123131",4.60971462991718,5.05676128473319,3.51774229424056,1.89743117507719,3.38596443945279
"WBGene00123132",4.74709453470977,4.73392134211239,5.18734460845906,4.96194393663192,4.18277389114895
"WBGene00123134",-0.686606808834114,1.50186854784308,0.638907983763018,0.736276383262613,2.10585652026005
"WBGene00123136",6.8801519799938,8.65753843998538,8.27971526458063,9.40103071188118,9.30084782581483
"WBGene00123139",-1.53460371538906,-2.83441484002136,-4.85294511256666,-5.04508333026205,1.11953145715713
"WBGene00123140",5.9779392397078,4.99974014137996,5.006589673816,5.01426113056238,5.30898308207077
"WBGene00123141",6.15888324211026,6.44403461819913,5.87242114532899,6.58290645405366,5.02278805829791
"WBGene00123142",-0.58351331587001,0.335510161420956,-2.04559019050905,-1.87515832881973,-0.0848270413490599
"WBGene00123144",5.29912973349183,5.98767793435817,6.18939826722703,3.89449588405265,3.31642350619971
"WBGene00123145",5.2821666334124,7.34026121966688,7.78842931172786,4.94218068181049,5.79781600801278
"WBGene00123148",5.5032177500459,4.87018050761105,5.4496938112209,6.24551155782052,4.79887876683866
"WBGene00123151",4.40556303509375,3.65422869983243,4.23716730709763,4.62202821181298,4.27730737593332
"WBGene00123152",7.0541109201932,6.08385211907121,6.74091282629157,5.74689349063664,5.54262754148618
"WBGene00123153",6.19829858228173,6.15937272311348,5.4835614472436,6.06278758401757,4.90138600692086
